Disease_id,Symptom_id,relation_type,database
MESH:D005910,D002524,DpS,Hetionet
MESH:D005910,D010291,DpS,Hetionet
MESH:D000310,D005334,DpS,Hetionet
MESH:D010300,D053158,DpS,Hetionet
MESH:D009103,D004244,DpS,Hetionet
MESH:D000544,D008569,DpS,Hetionet
MESH:D005922,D016553,DpS,Hetionet
MESH:D009373,D006315,DpS,Hetionet
MESH:D000163,D011696,DpS,Hetionet
MESH:D016535,D001049,DpS,Hetionet
MESH:D005901,D015877,DpS,Hetionet
MESH:D014594,D000860,DpS,Hetionet
MESH:D010300,D009325,DpS,Hetionet
MESH:D016584,D009041,DpS,Hetionet
MESH:D004827,D038901,DpS,Hetionet
MESH:D006111,D011782,DpS,Hetionet
MESH:D007037,D002524,DpS,Hetionet
MESH:D010300,D003693,DpS,Hetionet
MESH:D001650,D041781,DpS,Hetionet
MESH:D001321,D001072,DpS,Hetionet
MESH:D005134,D000550,DpS,Hetionet
MESH:D051436,D009133,DpS,Hetionet
MESH:D001932,D004614,DpS,Hetionet
MESH:D001932,D034381,DpS,Hetionet
MESH:D013274,D011696,DpS,Hetionet
MESH:D008881,D009903,DpS,Hetionet
MESH:D000506,D006311,DpS,Hetionet
MESH:D009373,D014012,DpS,Hetionet
MESH:C562839,D009325,DpS,Hetionet
MESH:D004827,D003128,DpS,Hetionet
MESH:D011565,D011538,DpS,Hetionet
MESH:D009383,D007383,DpS,Hetionet
MESH:D009103,D006423,DpS,Hetionet
MESH:D004938,D003371,DpS,Hetionet
MESH:D014594,D014549,DpS,Hetionet
MESH:D001932,D002819,DpS,Hetionet
MESH:D002532,D014012,DpS,Hetionet
MESH:D009103,D004401,DpS,Hetionet
MESH:D011085,D002032,DpS,Hetionet
MESH:D010003,D012585,DpS,Hetionet
MESH:D009765,D006963,DpS,Hetionet
MESH:D000690,D020336,DpS,Hetionet
MESH:D009765,D009765,DpS,Hetionet
MESH:D005901,D058447,DpS,Hetionet
MESH:D009373,D015160,DpS,Hetionet
MESH:D050197,D000860,DpS,Hetionet
MESH:D029424,D002100,DpS,Hetionet
MESH:D008545,D009755,DpS,Hetionet
MESH:D008545,D004172,DpS,Hetionet
MESH:D003093,D003635,DpS,Hetionet
MESH:D001321,D000377,DpS,Hetionet
MESH:D003924,D005483,DpS,Hetionet
MESH:D012030,D001766,DpS,Hetionet
MESH:D010195,D004487,DpS,Hetionet
MESH:D013953,D006469,DpS,Hetionet
MESH:D016584,D008065,DpS,Hetionet
MESH:D012030,D019591,DpS,Hetionet
MESH:D008175,D020069,DpS,Hetionet
MESH:D005910,D004401,DpS,Hetionet
MESH:D008545,D004487,DpS,Hetionet
MESH:D009373,D020182,DpS,Hetionet
MESH:D003924,D054058,DpS,Hetionet
MESH:D007562,D004401,DpS,Hetionet
MESH:D004827,D009207,DpS,Hetionet
MESH:D001859,D020069,DpS,Hetionet
MESH:D007037,D006311,DpS,Hetionet
MESH:D013953,D009123,DpS,Hetionet
MESH:D009080,D006337,DpS,Hetionet
MESH:D000740,D007565,DpS,Hetionet
MESH:D008268,D014823,DpS,Hetionet
MESH:C562840,D001247,DpS,Hetionet
MESH:D016584,D002032,DpS,Hetionet
MESH:D009373,D005157,DpS,Hetionet
MESH:D009103,D054972,DpS,Hetionet
MESH:D009765,D010845,DpS,Hetionet
MESH:D010610,D009437,DpS,Hetionet
MESH:D001289,D001072,DpS,Hetionet
MESH:C562840,D019584,DpS,Hetionet
MESH:D014594,D001750,DpS,Hetionet
MESH:D010195,D015746,DpS,Hetionet
MESH:D008175,D012135,DpS,Hetionet
MESH:D014820,D004421,DpS,Hetionet
MESH:D012004,D011537,DpS,Hetionet
MESH:D006258,D009912,DpS,Hetionet
MESH:D009290,D010845,DpS,Hetionet
MESH:D012148,D007319,DpS,Hetionet
MESH:D018204,D004487,DpS,Hetionet
MESH:D009383,D002637,DpS,Hetionet
MESH:D004938,D002637,DpS,Hetionet
MESH:D001528,D006469,DpS,Hetionet
MESH:D005642,D014786,DpS,Hetionet
MESH:D012148,D017827,DpS,Hetionet
MESH:D009383,D010291,DpS,Hetionet
MESH:D000310,D004438,DpS,Hetionet
MESH:D009080,D011696,DpS,Hetionet
MESH:D024821,D050177,DpS,Hetionet
MESH:D000740,D002637,DpS,Hetionet
MESH:D018204,D001416,DpS,Hetionet
MESH:D012030,D009755,DpS,Hetionet
MESH:D010003,D017116,DpS,Hetionet
MESH:D001172,D004487,DpS,Hetionet
MESH:D008881,D018908,DpS,Hetionet
MESH:D009103,D005221,DpS,Hetionet
MESH:D001321,D009155,DpS,Hetionet
MESH:D051436,D004415,DpS,Hetionet
MESH:D000690,D018908,DpS,Hetionet
MESH:D001932,D001037,DpS,Hetionet
MESH:D010610,D006319,DpS,Hetionet
MESH:D009373,D003968,DpS,Hetionet
MESH:D007078,D003967,DpS,Hetionet
MESH:D015209,D041781,DpS,Hetionet
MESH:D000310,D015746,DpS,Hetionet
MESH:D003866,D048949,DpS,Hetionet
MESH:D003922,D001750,DpS,Hetionet
MESH:D008579,D003221,DpS,Hetionet
MESH:D005910,D006606,DpS,Hetionet
MESH:D018204,D010243,DpS,Hetionet
MESH:C562840,D005334,DpS,Hetionet
MESH:D003866,D005183,DpS,Hetionet
MESH:D007079,D003248,DpS,Hetionet
MESH:D010001,D009912,DpS,Hetionet
MESH:D003093,D012877,DpS,Hetionet
MESH:D007889,D006396,DpS,Hetionet
MESH:D000437,D000472,DpS,Hetionet
MESH:D001859,D014012,DpS,Hetionet
MESH:D000437,D006963,DpS,Hetionet
MESH:D003866,D001247,DpS,Hetionet
MESH:D014594,D014840,DpS,Hetionet
MESH:D000437,D007319,DpS,Hetionet
MESH:D009373,D019569,DpS,Hetionet
MESH:D019337,D005335,DpS,Hetionet
MESH:D010610,D005132,DpS,Hetionet
MESH:D001289,D007859,DpS,Hetionet
MESH:D014820,D016553,DpS,Hetionet
MESH:D017202,D007383,DpS,Hetionet
MESH:D065631,D003371,DpS,Hetionet
MESH:D010040,D013651,DpS,Hetionet
MESH:D000437,D012893,DpS,Hetionet
MESH:D003924,D000419,DpS,Hetionet
MESH:D001321,D006948,DpS,Hetionet
MESH:D009103,D009461,DpS,Hetionet
MESH:D004827,D020754,DpS,Hetionet
MESH:D018317,D006313,DpS,Hetionet
MESH:D000544,D000377,DpS,Hetionet
MESH:D002532,D015875,DpS,Hetionet
MESH:D005879,D007806,DpS,Hetionet
MESH:D008175,D010148,DpS,Hetionet
MESH:D016584,D011602,DpS,Hetionet
MESH:D008175,D004408,DpS,Hetionet
MESH:D019042,D005130,DpS,Hetionet
MESH:D001172,D011507,DpS,Hetionet
MESH:D001321,D003635,DpS,Hetionet
MESH:D008113,D000006,DpS,Hetionet
MESH:D018204,D010291,DpS,Hetionet
MESH:D006111,D012607,DpS,Hetionet
MESH:D008113,D005335,DpS,Hetionet
MESH:D013167,D010146,DpS,Hetionet
MESH:D002532,D005158,DpS,Hetionet
MESH:D009290,D038921,DpS,Hetionet
MESH:D010610,D000857,DpS,Hetionet
MESH:D010040,D016532,DpS,Hetionet
MESH:D007822,D006469,DpS,Hetionet
MESH:D017544,D020335,DpS,Hetionet
DOID:90,D010146,DpS,Hetionet
MESH:D010300,D006948,DpS,Hetionet
MESH:D002971,D005183,DpS,Hetionet
MESH:D007562,D001041,DpS,Hetionet
MESH:D006258,D006685,DpS,Hetionet
MESH:D008175,D002100,DpS,Hetionet
MESH:D002532,D011782,DpS,Hetionet
MESH:D005901,D019591,DpS,Hetionet
MESH:D012559,D059607,DpS,Hetionet
MESH:D051436,D011141,DpS,Hetionet
MESH:D001172,D019873,DpS,Hetionet
MESH:D007562,D018908,DpS,Hetionet
MESH:D008113,D005483,DpS,Hetionet
MESH:D009383,D015746,DpS,Hetionet
MESH:D009373,D000006,DpS,Hetionet
MESH:C562839,D015746,DpS,Hetionet
MESH:D016584,D006212,DpS,Hetionet
MESH:D000740,D003967,DpS,Hetionet
MESH:D001289,D006970,DpS,Hetionet
MESH:D006258,D014098,DpS,Hetionet
MESH:D004827,D013035,DpS,Hetionet
MESH:D009383,D006469,DpS,Hetionet
MESH:D008881,D002524,DpS,Hetionet
MESH:D010190,D015746,DpS,Hetionet
MESH:D019042,D020069,DpS,Hetionet
MESH:D014820,D046088,DpS,Hetionet
MESH:D017545,D002303,DpS,Hetionet
MESH:D006258,D012135,DpS,Hetionet
MESH:D003924,D056128,DpS,Hetionet
MESH:D012468,D010292,DpS,Hetionet
MESH:D015179,D000006,DpS,Hetionet
MESH:D009080,D004487,DpS,Hetionet
MESH:D002532,D004172,DpS,Hetionet
MESH:D015179,D014840,DpS,Hetionet
MESH:D007562,D018476,DpS,Hetionet
MESH:D008175,D009325,DpS,Hetionet
MESH:D009373,D004438,DpS,Hetionet
MESH:D004379,D015746,DpS,Hetionet
MESH:D019337,D010146,DpS,Hetionet
MESH:D001749,D059411,DpS,Hetionet
MESH:D010300,D020886,DpS,Hetionet
MESH:D012004,D017699,DpS,Hetionet
MESH:D002583,D010148,DpS,Hetionet
MESH:D001859,D004438,DpS,Hetionet
MESH:D017545,D004438,DpS,Hetionet
MESH:D000310,D013575,DpS,Hetionet
MESH:D002583,D014839,DpS,Hetionet
MESH:D003866,D017288,DpS,Hetionet
MESH:D001859,D015354,DpS,Hetionet
MESH:D005134,D011681,DpS,Hetionet
MESH:D008180,D011782,DpS,Hetionet
MESH:D012878,D006930,DpS,Hetionet
MESH:D009373,D003639,DpS,Hetionet
MESH:D010195,D007035,DpS,Hetionet
MESH:D010051,D014840,DpS,Hetionet
MESH:D051436,D009120,DpS,Hetionet
MESH:D007889,D000006,DpS,Hetionet
MESH:D001859,D005157,DpS,Hetionet
MESH:D008175,D005157,DpS,Hetionet
MESH:D024821,D001835,DpS,Hetionet
MESH:D010001,D017116,DpS,Hetionet
MESH:D000310,D010149,DpS,Hetionet
MESH:D001289,D007088,DpS,Hetionet
MESH:D018204,D006987,DpS,Hetionet
MESH:D000690,D012133,DpS,Hetionet
MESH:D000437,D003128,DpS,Hetionet
MESH:D009103,D012133,DpS,Hetionet
MESH:D005879,D004454,DpS,Hetionet
MESH:D013736,D010292,DpS,Hetionet
MESH:D000163,D010146,DpS,Hetionet
DOID:90,D001416,DpS,Hetionet
MESH:D008268,D004172,DpS,Hetionet
MESH:D001932,D011681,DpS,Hetionet
MESH:D005185,D017699,DpS,Hetionet
MESH:D007079,D004487,DpS,Hetionet
MESH:D010300,D006970,DpS,Hetionet
MESH:D005910,D014786,DpS,Hetionet
MESH:D007889,D005334,DpS,Hetionet
DOID:11920,D014826,DpS,Hetionet
MESH:D024821,D015430,DpS,Hetionet
MESH:D008881,D007088,DpS,Hetionet
