Disease_id,Anatomy_id,relation_type,database
MESH:D001528,UBERON:0001638,DlA,Hetionet
MESH:D006973,UBERON:0002113,DlA,Hetionet
MESH:D009373,UBERON:0001724,DlA,Hetionet
MESH:D012186,UBERON:0001815,DlA,Hetionet
MESH:D012559,UBERON:0001905,DlA,Hetionet
MESH:D012030,UBERON:0001775,DlA,Hetionet
MESH:D007918,UBERON:0001981,DlA,Hetionet
MESH:D009765,UBERON:0002204,DlA,Hetionet
MESH:D013120,UBERON:0000974,DlA,Hetionet
MESH:D015179,UBERON:0001135,DlA,Hetionet
MESH:D008881,UBERON:0002377,DlA,Hetionet
MESH:D004379,UBERON:0002394,DlA,Hetionet
MESH:D011085,UBERON:0002368,DlA,Hetionet
MESH:D002971,UBERON:0002515,DlA,Hetionet
MESH:D015210,UBERON:0001461,DlA,Hetionet
MESH:D008180,UBERON:0002523,DlA,Hetionet
MESH:D002446,UBERON:0000482,DlA,Hetionet
MESH:D008545,UBERON:0001769,DlA,Hetionet
MESH:D007562,UBERON:0001017,DlA,Hetionet
MESH:C562839,UBERON:0002352,DlA,Hetionet
MESH:D008113,UBERON:0001193,DlA,Hetionet
MESH:D004379,UBERON:0001007,DlA,Hetionet
MESH:D010300,UBERON:0002037,DlA,Hetionet
MESH:D013736,UBERON:0000922,DlA,Hetionet
MESH:D008268,UBERON:0001786,DlA,Hetionet
MESH:D018204,UBERON:0000026,DlA,Hetionet
MESH:D017202,UBERON:0001529,DlA,Hetionet
MESH:D008479,UBERON:0001529,DlA,Hetionet
MESH:D002971,UBERON:0001597,DlA,Hetionet
MESH:D003924,UBERON:0001324,DlA,Hetionet
MESH:D053040,UBERON:0001228,DlA,Hetionet
MESH:D002532,UBERON:0002500,DlA,Hetionet
MESH:D013964,UBERON:0001044,DlA,Hetionet
MESH:D003866,UBERON:0001836,DlA,Hetionet
MESH:D009373,UBERON:0001908,DlA,Hetionet
MESH:D000437,UBERON:0000955,DlA,Hetionet
MESH:D013736,UBERON:0003889,DlA,Hetionet
MESH:D010051,UBERON:0002450,DlA,Hetionet
MESH:D003093,UBERON:0002017,DlA,Hetionet
MESH:D013274,UBERON:0001135,DlA,Hetionet
MESH:D001859,UBERON:0002382,DlA,Hetionet
MESH:D010003,UBERON:0002413,DlA,Hetionet
MESH:D008479,UBERON:0001587,DlA,Hetionet
MESH:D013120,UBERON:0001535,DlA,Hetionet
MESH:D007580,UBERON:0002439,DlA,Hetionet
MESH:D010040,UBERON:0001846,DlA,Hetionet
MESH:D013736,UBERON:0000992,DlA,Hetionet
MESH:D003924,UBERON:0000989,DlA,Hetionet
MESH:D055113,UBERON:0002384,DlA,Hetionet
MESH:D012468,UBERON:0001723,DlA,Hetionet
MESH:D007680,UBERON:0001231,DlA,Hetionet
MESH:D045743,UBERON:0002441,DlA,Hetionet
MESH:D065631,UBERON:0001037,DlA,Hetionet
MESH:D003924,UBERON:0002523,DlA,Hetionet
MESH:D014625,UBERON:0002356,DlA,Hetionet
MESH:D051436,UBERON:0001494,DlA,Hetionet
MESH:D009103,UBERON:0001322,DlA,Hetionet
MESH:D004938,UBERON:0001135,DlA,Hetionet
MESH:D001321,UBERON:0001007,DlA,Hetionet
MESH:D007680,UBERON:0000056,DlA,Hetionet
MESH:D009373,UBERON:0001679,DlA,Hetionet
MESH:D003922,UBERON:0001089,DlA,Hetionet
MESH:D001859,UBERON:0006849,DlA,Hetionet
MESH:D012030,UBERON:0001827,DlA,Hetionet
MESH:D002311,UBERON:0000948,DlA,Hetionet
MESH:D007580,UBERON:0001744,DlA,Hetionet
MESH:D001321,UBERON:0000988,DlA,Hetionet
MESH:D012878,UBERON:0001744,DlA,Hetionet
MESH:D000690,UBERON:0002102,DlA,Hetionet
MESH:D012004,UBERON:0000056,DlA,Hetionet
MESH:D000690,UBERON:0001650,DlA,Hetionet
MESH:D001932,UBERON:0001070,DlA,Hetionet
MESH:D003866,UBERON:0002046,DlA,Hetionet
MESH:D013964,UBERON:0000974,DlA,Hetionet
MESH:D008479,UBERON:0002371,DlA,Hetionet
MESH:D015179,UBERON:0001300,DlA,Hetionet
MESH:D011565,UBERON:0001986,DlA,Hetionet
MESH:D005642,UBERON:0001796,DlA,Hetionet
MESH:D001321,UBERON:0001456,DlA,Hetionet
MESH:D002971,UBERON:0001734,DlA,Hetionet
MESH:D007918,UBERON:0001647,DlA,Hetionet
MESH:D000690,UBERON:0001723,DlA,Hetionet
MESH:D051436,UBERON:0001132,DlA,Hetionet
MESH:D014594,UBERON:0000996,DlA,Hetionet
MESH:D010001,UBERON:0006849,DlA,Hetionet
MESH:D018317,UBERON:0001780,DlA,Hetionet
MESH:D016535,UBERON:0000011,DlA,Hetionet
MESH:D005134,UBERON:0001702,DlA,Hetionet
MESH:D010300,UBERON:0000010,DlA,Hetionet
MESH:D009765,UBERON:0002369,DlA,Hetionet
MESH:D007889,UBERON:0001135,DlA,Hetionet
MESH:D007078,UBERON:0000483,DlA,Hetionet
MESH:C562840,UBERON:0000992,DlA,Hetionet
MESH:D008288,UBERON:0002113,DlA,Hetionet
MESH:D016640,UBERON:0001398,DlA,Hetionet
MESH:D015535,UBERON:0002398,DlA,Hetionet
MESH:D000690,UBERON:0002413,DlA,Hetionet
MESH:D003924,UBERON:0000978,DlA,Hetionet
MESH:D009373,UBERON:0001237,DlA,Hetionet
MESH:D001932,UBERON:0001643,DlA,Hetionet
MESH:D008579,UBERON:0001707,DlA,Hetionet
MESH:D008545,UBERON:0002389,DlA,Hetionet
MESH:D010051,UBERON:0002512,DlA,Hetionet
MESH:D017545,UBERON:0001530,DlA,Hetionet
MESH:D000690,UBERON:0001021,DlA,Hetionet
MESH:D004938,UBERON:0002048,DlA,Hetionet
MESH:D008268,UBERON:0001773,DlA,Hetionet
MESH:D005642,UBERON:0000964,DlA,Hetionet
MESH:D010195,UBERON:0001064,DlA,Hetionet
MESH:D000506,UBERON:0001037,DlA,Hetionet
MESH:D008545,UBERON:0002362,DlA,Hetionet
MESH:D024821,UBERON:0002405,DlA,Hetionet
MESH:D001714,UBERON:0001089,DlA,Hetionet
MESH:D001932,UBERON:0002707,DlA,Hetionet
MESH:D017202,UBERON:0001516,DlA,Hetionet
MESH:D050197,UBERON:0000989,DlA,Hetionet
MESH:D008175,UBERON:0001111,DlA,Hetionet
MESH:D008881,UBERON:0001456,DlA,Hetionet
MESH:D001932,UBERON:0001886,DlA,Hetionet
MESH:D017202,UBERON:0001406,DlA,Hetionet
MESH:D006258,UBERON:0001840,DlA,Hetionet
MESH:D011565,UBERON:0002398,DlA,Hetionet
MESH:D003922,UBERON:0001437,DlA,Hetionet
MESH:D001172,UBERON:0001470,DlA,Hetionet
MESH:D013953,UBERON:0002390,DlA,Hetionet
MESH:D006973,UBERON:0001398,DlA,Hetionet
MESH:D006111,UBERON:0002046,DlA,Hetionet
MESH:D009373,UBERON:0001070,DlA,Hetionet
MESH:D014820,UBERON:0001702,DlA,Hetionet
MESH:D009290,UBERON:0002275,DlA,Hetionet
MESH:D050197,UBERON:0002060,DlA,Hetionet
MESH:D001528,UBERON:0000997,DlA,Hetionet
MESH:D001859,UBERON:0001685,DlA,Hetionet
MESH:D014516,UBERON:0002113,DlA,Hetionet
MESH:D013120,UBERON:0002414,DlA,Hetionet
MESH:D045743,UBERON:0002204,DlA,Hetionet
MESH:D011471,UBERON:0000473,DlA,Hetionet
MESH:D001289,UBERON:0002410,DlA,Hetionet
MESH:D010300,UBERON:0001577,DlA,Hetionet
MESH:D008545,UBERON:0000053,DlA,Hetionet
MESH:D018317,UBERON:0001460,DlA,Hetionet
MESH:D006258,UBERON:0001837,DlA,Hetionet
MESH:D010300,UBERON:0002387,DlA,Hetionet
